activity_id	case_id	timeline_dt	fk_d_vessel	vessel_id	vin	vessel_name	vessel_service	vessel_class	vessel_type	vessel_subtype	flag_desc	vessel_activity_role_desc	waterway_name	event_type	event_class	event_subclass	damage_status	latitude	longitude
4732506	659441	2013-08-09 15:17:00.0000000	6581986	679602	SC 4822 BR	SC 4822 BR	Passenger (Inspected)	Passenger Ship	Excursion/Tour Vessel	General (More Than 6, Gross Tonnage < 100)	UNITED STATES	Involved in a Marine Casualty		Vessel Maneuverability	Total Loss		Undamaged	32.491123333333300	-80.332353333333300
4732506	659441	2013-08-09 15:16:00.0000000	6581986	679602	SC 4822 BR	SC 4822 BR	Passenger (Inspected)	Passenger Ship	Excursion/Tour Vessel	General (More Than 6, Gross Tonnage < 100)	UNITED STATES	Involved in a Marine Casualty		Material Failure (Vessels)			Undamaged	32.491123333333300	-80.332353333333300
4732506	659441	2013-08-09 15:16:05.0000000	6581986	679602	SC 4822 BR	SC 4822 BR	Passenger (Inspected)	Passenger Ship	Excursion/Tour Vessel	General (More Than 6, Gross Tonnage < 100)	UNITED STATES	Involved in a Marine Casualty		Material Failure (Vessels)			Undamaged	32.491123333333300	-80.332353333333300
4732506	659441	2013-08-09 15:15:01.0000000	6581986	679602	SC 4822 BR	SC 4822 BR	Passenger (Inspected)	Passenger Ship	Excursion/Tour Vessel	General (More Than 6, Gross Tonnage < 100)	UNITED STATES	Involved in a Marine Casualty		Material Failure (Vessels)			Undamaged	32.491123333333300	-80.332353333333300
4732506	659441	2013-08-09 15:15:00.0000000	6581986	679602	SC 4822 BR	SC 4822 BR	Passenger (Inspected)	Passenger Ship	Excursion/Tour Vessel	General (More Than 6, Gross Tonnage < 100)	UNITED STATES	Involved in a Marine Casualty		Fouling	In Marine Plant Life		Undamaged	32.491123333333300	-80.332353333333300
4838217	677695	2014-04-16 02:48:00.0000000	8944353	148179	580823	COMET	Towing Vessel	Towing Vessel	General	General	UNITED STATES	Involved in a Marine Investigation (non-casualty)	ATLANTIC DEEP WATER SPUR	Material Failure (Vessels)			Undamaged	35.268333333333300	-74.930000000000000
4683506	651172	2013-08-12 18:00:30.0000000	9409245	1161859	1237503	SEA LEVEL	Passenger (Inspected)	Passenger Ship	General	General (More Than 6, Gross Tonnage < 100)	UNITED STATES	Involved in a Marine Casualty	PAMLICO SOUND	Vessel Maneuverability	Other loss		Undamaged	35.033333333333300	-76.308333333333300
4683506	651172	2013-08-12 18:00:00.0000000	9409245	1161859	1237503	SEA LEVEL	Passenger (Inspected)	Passenger Ship	General	General (More Than 6, Gross Tonnage < 100)	UNITED STATES	Involved in a Marine Casualty	PAMLICO SOUND	Material Failure (Vessels)			Undamaged	35.033333333333300	-76.308333333333300
4811685	673576	2014-03-05 04:31:00.0000000	8964829	173216	609007	VIRGINIA	Towing Vessel	Towing Vessel	General	General	UNITED STATES	Involved in a Marine Casualty	LITTLE RIVER INLET	Fire	Initial - contained		Damaged	33.855500000000000	-78.555833333333300
4811685	673576	2014-03-05 04:30:00.0000000	8964829	173216	609007	VIRGINIA	Towing Vessel	Towing Vessel	General	General	UNITED STATES	Involved in a Marine Casualty	LITTLE RIVER INLET	Material Failure (Vessels)			Damaged	33.855500000000000	-78.555833333333300
4811685	673576	2014-03-05 04:29:59.0000000	8964829	173216	609007	VIRGINIA	Towing Vessel	Towing Vessel	General	General	UNITED STATES	Involved in a Marine Casualty	LITTLE RIVER INLET	Material Failure (Vessels)			Damaged	33.855500000000000	-78.555833333333300
4811685	673576	2014-03-05 04:36:00.0000000	8964829	173216	609007	VIRGINIA	Towing Vessel	Towing Vessel	General	General	UNITED STATES	Involved in a Marine Casualty	LITTLE RIVER INLET	Loss of Electrical Power	Total Loss		Damaged	33.855500000000000	-78.555833333333300
4747058	662229	2013-10-31 12:40:01.0000000	9407867	45080	501195	PAMLICO	Passenger (Inspected)	Passenger Ship	Ferry	Ro-Ro Ferry (More Than 6, Gross Tonnage < 100)	UNITED STATES	Involved in a Marine Casualty	PAMLICO SOUND	Vessel Maneuverability	Other loss		Undamaged	35.183333333333300	-75.983333333333300
4665146	648116	2013-07-26 03:46:00.0000000	7217664	1254729	CG1254729	CHESAPEAKE	Freight Barge	Barge	Dry Cargo Barge	Open Dry Bulk	UNITED STATES	Involved in a Marine Casualty	MASONBORO INLET	Allision	Quartering	Subject vessel controlled by Other Vessel (barges/tows)	Undamaged	34.214650000000000	-77.815700000000000
4668432	648662	2013-07-23 23:25:00.0000000	9117607	413171	1026244	PACIFICS	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	Trawler, Other	UNITED STATES	Involved in a Marine Casualty	PAMLICO SOUND	Vessel Maneuverability	Other loss		Undamaged	35.036110000000000	-76.308888333333300
4668432	648662	2013-07-23 23:30:00.0000000	9117607	413171	1026244	PACIFICS	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	Trawler, Other	UNITED STATES	Involved in a Marine Casualty	PAMLICO SOUND	Allision	Broadside	Other	Undamaged	35.036110000000000	-76.308888333333300
4668432	648662	2013-07-23 23:30:00.0000000	9420178	197935	636405	DRIFTER	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	Shrimper	UNITED STATES	Involved in a Marine Casualty	PAMLICO SOUND	Allision	Broadside	Other	Damaged	35.036110000000000	-76.308888333333300
4721502	657506	2013-09-21 10:00:00.0000000	9260609	1080638	1231306	PHOENIX	Passenger (Inspected)	Passenger Ship	General	General (More Than 6, Gross Tonnage < 100)	UNITED STATES	Involved in a Marine Casualty	ATLANTIC DEEP WATER ACCESS	Material Failure (Vessels)			Undamaged	33.566200000000000	-77.611033333333300
4721502	657506	2013-09-21 10:01:00.0000000	9260609	1080638	1231306	PHOENIX	Passenger (Inspected)	Passenger Ship	General	General (More Than 6, Gross Tonnage < 100)	UNITED STATES	Involved in a Marine Casualty	ATLANTIC DEEP WATER ACCESS	Vessel Maneuverability	Total Loss		Undamaged	33.566200000000000	-77.611033333333300
4734949	659998	2013-10-08 10:05:00.0000000	9409190	1057692	1234389	SWAN QUARTER	Passenger (Inspected)	Passenger Ship	Ferry	General (More Than 12, Gross Tonnage >= 100)	UNITED STATES	Involved in a Marine Casualty	WEST BAY	Allision	Astern	Partial Control	Undamaged	35.018333333333300	-76.314166666666700
4771168	666443	2013-12-14 22:31:00.0000000	9408360	328438	946908	FRISCO	Passenger (Inspected)	Passenger Ship	Ferry	Ro-Ro (More Than 12, Gross Tonnage >= 100)	UNITED STATES	Involved in a Marine Casualty	PAMLICO SOUND	Material Failure (Vessels)			Undamaged	35.660483333333300	-75.710433333333300
4771168	666443	2013-12-14 22:31:30.0000000	9408360	328438	946908	FRISCO	Passenger (Inspected)	Passenger Ship	Ferry	Ro-Ro (More Than 12, Gross Tonnage >= 100)	UNITED STATES	Involved in a Marine Casualty	PAMLICO SOUND	Vessel Maneuverability	Partial Reduction		Undamaged	35.660483333333300	-75.710433333333300
4781595	668352	2014-01-11 12:00:00.0000000	9302445	190496	628002	CHRISTINA LEIGH	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	Shrimper	UNITED STATES	Involved in a Marine Casualty	CALIBOGUE SOUND	Material Failure (Vessels)			Total Constructive Loss: Unsalvaged	32.060000000000000	-80.855166666666700
4781595	668352	2014-01-11 16:04:00.0000000	9302445	190496	628002	CHRISTINA LEIGH	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	Shrimper	UNITED STATES	Involved in a Marine Casualty	CALIBOGUE SOUND	Abandonment	Precautionary		Total Constructive Loss: Unsalvaged	32.060000000000000	-80.855166666666700
4781595	668352	2014-01-11 10:45:00.0000000	9302445	190496	628002	CHRISTINA LEIGH	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	Shrimper	UNITED STATES	Involved in a Marine Casualty	CALIBOGUE SOUND	Material Failure (Vessels)			Total Constructive Loss: Unsalvaged	32.060000000000000	-80.855166666666700
4781595	668352	2014-01-11 10:00:00.0000000	9302445	190496	628002	CHRISTINA LEIGH	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	Shrimper	UNITED STATES	Involved in a Marine Casualty	CALIBOGUE SOUND	Emergency Response	Environmental Response		Total Constructive Loss: Unsalvaged	32.060000000000000	-80.855166666666700
4781595	668352	2014-01-17 10:00:00.0000000	9302445	190496	628002	CHRISTINA LEIGH	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	Shrimper	UNITED STATES	Involved in a Marine Casualty	CALIBOGUE SOUND	Emergency Response	Environmental Response		Total Constructive Loss: Unsalvaged	32.060000000000000	-80.855166666666700
4781595	668352	2014-01-11 11:32:00.0000000	9302445	190496	628002	CHRISTINA LEIGH	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	Shrimper	UNITED STATES	Involved in a Marine Casualty	CALIBOGUE SOUND	Material Failure (Vessels)			Total Constructive Loss: Unsalvaged	32.060000000000000	-80.855166666666700
4781595	668352	2014-01-12 10:00:00.0000000	9302445	190496	628002	CHRISTINA LEIGH	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	Shrimper	UNITED STATES	Involved in a Marine Casualty	CALIBOGUE SOUND	Emergency Response	Environmental Response		Total Constructive Loss: Unsalvaged	32.060000000000000	-80.855166666666700
4781595	668352	2014-01-16 10:00:00.0000000	9302445	190496	628002	CHRISTINA LEIGH	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	Shrimper	UNITED STATES	Involved in a Marine Casualty	CALIBOGUE SOUND	Emergency Response	Salvage		Total Constructive Loss: Unsalvaged	32.060000000000000	-80.855166666666700
4781595	668352	2014-01-11 11:30:00.0000000	9302445	190496	628002	CHRISTINA LEIGH	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	Shrimper	UNITED STATES	Involved in a Marine Casualty	CALIBOGUE SOUND	Material Failure (Vessels)			Total Constructive Loss: Unsalvaged	32.060000000000000	-80.855166666666700
4781595	668352	2014-01-11 15:01:00.0000000	9302445	190496	628002	CHRISTINA LEIGH	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	Shrimper	UNITED STATES	Involved in a Marine Casualty	CALIBOGUE SOUND	Emergency Response	Search and Rescue	Search Successful - Rescue successful	Total Constructive Loss: Unsalvaged	32.060000000000000	-80.855166666666700
4781595	668352	2014-01-11 10:46:00.0000000	9302445	190496	628002	CHRISTINA LEIGH	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	Shrimper	UNITED STATES	Involved in a Marine Casualty	CALIBOGUE SOUND	Flooding	Progressive - damage control measures in place		Total Constructive Loss: Unsalvaged	32.060000000000000	-80.855166666666700
4781595	668352	2014-01-13 10:00:00.0000000	9302445	190496	628002	CHRISTINA LEIGH	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	Shrimper	UNITED STATES	Involved in a Marine Casualty	CALIBOGUE SOUND	Emergency Response	Salvage		Total Constructive Loss: Unsalvaged	32.060000000000000	-80.855166666666700
4781595	668352	2014-01-11 09:00:00.0000000	9302445	190496	628002	CHRISTINA LEIGH	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	Shrimper	UNITED STATES	Involved in a Marine Casualty	CALIBOGUE SOUND	Material Failure (Vessels)			Total Constructive Loss: Unsalvaged	32.060000000000000	-80.855166666666700
4781595	668352	2014-01-22 10:00:00.0000000	9302445	190496	628002	CHRISTINA LEIGH	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	Shrimper	UNITED STATES	Involved in a Marine Casualty	CALIBOGUE SOUND	Emergency Response	Environmental Response		Total Constructive Loss: Unsalvaged	32.060000000000000	-80.855166666666700
4781595	668352	2014-01-11 14:49:00.0000000	9302445	190496	628002	CHRISTINA LEIGH	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	Shrimper	UNITED STATES	Involved in a Marine Casualty	CALIBOGUE SOUND	Sinking	Damage Control Efforts Not Possible		Total Constructive Loss: Unsalvaged	32.060000000000000	-80.855166666666700
4726157	658294	2013-09-28 07:00:01.0000000	9443697	248447	684100	CAPE DOUGLAS	Freight Ship	Ro-Ro Cargo Ship	General	General	UNITED STATES	Involved in a Marine Casualty	ATLANTIC DEEP WATER SPUR	Material Failure (Vessels)			Damaged	32.395000000000000	-79.071666666666700
4726157	658294	2013-09-28 07:00:02.0000000	9443697	248447	684100	CAPE DOUGLAS	Freight Ship	Ro-Ro Cargo Ship	General	General	UNITED STATES	Involved in a Marine Casualty	ATLANTIC DEEP WATER SPUR	Vessel Maneuverability	Partial Reduction		Damaged	32.395000000000000	-79.071666666666700
4792141	670014	2014-01-30 02:41:30.0000000	9453288	465459	1059881	CAPT. STEVEN L. BENNETT	Freight Ship	General Dry Cargo Ship	Container Ship	General	UNITED STATES	Involved in a Marine Casualty	ATLANTIC DEEP WATER ACCESS	Vessel Maneuverability	Other loss		Undamaged	33.808855000000000	-78.074633333333300
4721957	657586	2013-09-04 03:35:00.0000000	8952336	157967	591981	CAPT JAMES II	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	General	UNITED STATES	Involved in a Marine Casualty	CORE SOUND	Material Failure (Vessels)			Undamaged	35.026666666666700	-76.291666666666700
4721957	657586	2013-09-04 03:44:00.0000000	8952336	157967	591981	CAPT JAMES II	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	General	UNITED STATES	Involved in a Marine Casualty	CORE SOUND	Flooding	Initial - damage control measures in place		Undamaged	35.026666666666700	-76.291666666666700
4838217	677695	2014-04-16 02:49:00.0000000	9230345	872194	1204293	EVA LEIGH CUTLER	Tank Barge	Barge	Bulk Liquid Cargo (Tank) Barge	General	UNITED STATES	Involved in a Marine Investigation (non-casualty)	ATLANTIC DEEP WATER SPUR	Set Adrift	Unintentional	From Vessel (tugs, tows, other)	Undamaged	35.268333333333300	-74.930000000000000
4780889	668245	2013-12-20 15:42:30.0000000	9408959	768683	1174277	HATTERAS	Passenger (Inspected)	Passenger Ship	Ferry	Ro-Ro Ferry (More Than 6, Gross Tonnage < 100)	UNITED STATES	Involved in a Marine Casualty	HATTERAS CHANNEL	Vessel Maneuverability	Other loss		Damaged	35.209290000000000	-75.703540000000000
4749751	662724	2013-11-06 16:10:01.0000000	9305871	240942	676356	MYSTIQUE	Passenger (Inspected)	Passenger Ship	General	General (More Than 6, Gross Tonnage < 100)	UNITED STATES	Involved in a Marine Casualty	CALIBOGUE SOUND	Vessel Maneuverability	Total Loss		Undamaged	32.138314666666700	-80.814727500000000
4794502	670606	2014-02-03 11:00:00.0000000	9035731	273524	699833	SEA RIDER	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	Bandit Rigged	UNITED STATES	Involved in a Marine Casualty		Flooding	Progressive - damage control measures in place		Damaged	34.933333333333300	-76.433333333333300
4794502	670606	2014-02-03 10:59:00.0000000	9035731	273524	699833	SEA RIDER	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	Bandit Rigged	UNITED STATES	Involved in a Marine Casualty		Material Failure (Vessels)			Damaged	34.933333333333300	-76.433333333333300
4794502	670606	2014-02-03 10:55:00.0000000	9035731	273524	699833	SEA RIDER	Commercial Fishing Vessel	Fishing Vessel	Fish Catching Vessel	Bandit Rigged	UNITED STATES	Involved in a Marine Casualty		Material Failure (Vessels)			Damaged	34.933333333333300	-76.433333333333300
4686643	651666	2013-08-01 13:49:00.0000000	9408521	393663	996146	ROANOKE	Passenger (Inspected)	Passenger Ship	Ferry	Ro-Ro (More Than 12, Gross Tonnage >= 100)	UNITED STATES	Involved in a Marine Casualty	PAMLICO SOUND	Vessel Maneuverability	Total Loss		Undamaged	35.213000000000000	-75.713230000000000
4686643	651666	2013-08-01 13:48:00.0000000	9408521	393663	996146	ROANOKE	Passenger (Inspected)	Passenger Ship	Ferry	Ro-Ro (More Than 12, Gross Tonnage >= 100)	UNITED STATES	Involved in a Marine Casualty	PAMLICO SOUND	Material Failure (Vessels)			Undamaged	35.213000000000000	-75.713230000000000
4749751	662724	2013-11-06 16:09:00.0000000	9305871	240942	676356	MYSTIQUE	Passenger (Inspected)	Passenger Ship	General	General (More Than 6, Gross Tonnage < 100)	UNITED STATES	Involved in a Marine Casualty	CALIBOGUE SOUND	Material Failure (Vessels)			Undamaged	32.138314666666700	-80.814727500000000
4581461	633370	2013-04-21 13:30:00.0000000	0			PONTOON BOAT	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED	Moored/Anchored  in Vicinity of Primary Subject	LITTLE RIVER INLET	Set Adrift	Unintentional	From Anchor (dragging anchor)	Undamaged	33.848580000000000	-78.546359000000000
4581461	633370	2013-04-21 12:30:00.0000000	0			PONTOON BOAT	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED	Moored/Anchored  in Vicinity of Primary Subject	LITTLE RIVER INLET	Set Adrift	Unintentional	From Anchor (dragging anchor)	Undamaged	33.848580000000000	-78.546359000000000
4581461	633370	2013-04-21 13:38:01.0000000	0			PONTOON BOAT	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED	Moored/Anchored  in Vicinity of Primary Subject	LITTLE RIVER INLET	Emergency Response	Search and Rescue	Search Unsuccessful	Undamaged	33.848580000000000	-78.546359000000000
4581461	633370	2013-04-21 11:45:00.0000000	0			PONTOON BOAT	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED	UNSPECIFIED	Moored/Anchored  in Vicinity of Primary Subject	LITTLE RIVER INLET	Set Adrift	Unintentional	From Anchor (dragging anchor)	Undamaged	33.848580000000000	-78.546359000000000
4777879	667772	2013-12-18 12:29:00.0000000	7354999	874609	8434324	USNS GRASP	Industrial Vessel	Miscellaneous Vessel	Salvage Vessel	General	UNITED STATES	Involved in a Marine Casualty	ATLANTIC OCEAN	Vessel Maneuverability	Partial Reduction		Undamaged	36.440000000000000	-74.820000000000000
4777879	667772	2013-12-18 12:20:00.0000000	7354999	874609	8434324	USNS GRASP	Industrial Vessel	Miscellaneous Vessel	Salvage Vessel	General	UNITED STATES	Involved in a Marine Casualty	ATLANTIC OCEAN	Fouling			Undamaged	36.440000000000000	-74.820000000000000
